iter	Passed	Remaining
0	154	154484
1	156	78104
2	157	52367
3	158	39446
4	159	31693
5	160	26526
6	160	22835
7	161	20077
8	162	17911
9	163	16180
10	164	14756
11	164	13568
12	165	12582
13	166	11740
14	167	11009
15	168	10367
16	169	9796
17	170	9282
18	170	8819
19	171	8410
20	172	8037
21	173	7696
22	173	7387
23	174	7105
24	175	6852
25	176	6610
26	177	6384
27	177	6173
28	178	5977
29	179	5796
30	180	5626
31	180	5471
32	181	5329
33	182	5190
34	183	5057
35	184	4930
36	184	4810
37	185	4697
38	186	4588
39	186	4485
40	187	4388
41	188	4296
42	189	4209
43	189	4124
44	190	4043
45	191	3965
46	191	3890
47	192	3819
48	193	3753
49	194	3689
50	195	3630
51	195	3572
52	197	3523
53	197	3468
54	198	3415
55	199	3364
56	200	3313
57	201	3265
58	201	3219
59	202	3172
60	203	3128
61	203	3085
62	204	3043
63	205	3003
64	206	2964
65	206	2926
66	207	2891
67	208	2857
68	209	2822
69	210	2790
70	210	2760
71	211	2730
72	212	2701
73	213	2671
74	214	2642
75	215	2615
76	216	2590
77	216	2563
78	217	2536
79	218	2510
80	218	2484
81	219	2459
82	220	2431
83	220	2407
84	221	2385
85	222	2362
86	223	2340
87	223	2319
88	224	2299
89	225	2281
90	226	2265
91	227	2246
92	228	2230
93	229	2212
94	230	2196
95	231	2181
96	232	2163
97	233	2146
98	233	2129
99	234	2112
100	235	2095
101	236	2079
102	237	2064
103	237	2048
104	238	2033
105	239	2020
106	240	2008
107	241	1995
108	242	1984
109	243	1971
110	244	1958
111	245	1946
112	246	1934
113	247	1923
114	248	1912
115	249	1900
116	249	1886
117	250	1873
118	251	1860
119	252	1851
120	253	1839
121	253	1826
122	254	1816
123	255	1808
124	257	1800
125	258	1790
126	258	1779
127	259	1770
128	260	1760
129	261	1749
130	262	1738
131	262	1727
132	263	1717
133	264	1708
134	265	1703
135	266	1694
136	267	1685
137	268	1676
138	269	1667
139	270	1659
140	271	1653
141	272	1644
142	273	1636
143	273	1627
144	274	1619
145	275	1612
146	276	1605
147	277	1598
148	278	1591
149	279	1583
150	280	1575
151	280	1567
152	281	1559
153	282	1551
154	283	1543
155	283	1536
156	285	1530
157	286	1525
158	287	1520
159	288	1513
160	288	1505
161	289	1499
162	290	1493
163	291	1486
164	292	1481
165	293	1476
166	294	1470
167	295	1464
168	296	1458
169	297	1451
170	298	1444
171	298	1438
172	299	1432
173	300	1428
174	302	1423
175	303	1419
176	304	1413
177	304	1408
178	305	1402
179	306	1397
180	307	1392
181	308	1386
182	309	1380
183	309	1374
184	310	1368
185	311	1362
186	312	1356
187	312	1350
188	313	1345
189	314	1339
190	315	1336
191	316	1331
192	317	1327
193	318	1322
194	319	1317
195	319	1312
196	320	1307
197	321	1302
198	322	1298
199	323	1293
200	323	1287
201	324	1282
202	325	1277
203	326	1272
204	326	1267
205	327	1262
206	328	1257
207	328	1252
208	329	1248
209	330	1245
210	331	1241
211	332	1236
212	333	1232
213	334	1228
214	335	1224
215	336	1219
216	336	1215
217	337	1210
218	338	1206
219	338	1201
220	339	1197
221	340	1192
222	341	1188
223	341	1184
224	342	1179
225	343	1175
226	343	1171
227	344	1167
228	345	1164
229	347	1161
230	348	1159
231	349	1156
232	350	1153
233	351	1150
234	352	1147
235	353	1144
236	354	1140
237	354	1136
238	355	1131
239	356	1128
240	356	1123
241	357	1120
242	358	1116
243	359	1112
244	360	1109
245	361	1107
246	362	1104
247	363	1101
248	364	1098
249	365	1095
250	366	1093
251	367	1090
252	368	1087
253	369	1084
254	370	1081
255	371	1079
256	372	1076
257	373	1073
258	374	1071
259	375	1069
260	376	1067
261	377	1064
262	378	1062
263	379	1058
264	380	1055
265	381	1053
266	382	1050
267	383	1047
268	384	1043
269	384	1040
270	385	1037
271	386	1033
272	386	1030
273	387	1027
274	388	1023
275	389	1021
276	390	1018
277	391	1016
278	392	1014
279	393	1011
280	394	1009
281	395	1006
282	396	1003
283	396	1000
284	397	998
285	398	995
286	399	992
287	400	989
288	400	986
289	401	983
290	402	980
291	403	977
292	403	974
293	404	972
294	406	970
295	407	969
296	408	966
297	409	964
298	409	961
299	410	958
300	411	956
301	412	953
302	413	950
303	414	948
304	414	945
305	415	942
306	416	939
307	416	936
308	417	934
309	418	931
310	419	928
311	420	926
312	421	924
313	422	922
314	423	920
315	424	918
316	425	916
317	426	913
318	427	911
319	427	909
320	428	906
321	429	904
322	430	901
323	430	898
324	431	896
325	432	893
326	432	891
327	433	888
328	434	886
329	435	884
330	436	882
331	437	880
332	438	878
333	439	876
334	440	874
335	441	871
336	442	869
337	442	867
338	443	864
339	444	862
340	444	859
341	445	857
342	446	854
343	446	852
344	447	849
345	448	847
346	449	845
347	450	843
348	451	841
349	452	840
350	453	838
351	454	836
352	455	834
353	456	832
354	457	830
355	457	828
356	458	825
357	459	823
358	459	821
359	460	818
360	461	816
361	461	814
362	462	811
363	463	809
364	464	807
365	465	806
366	466	805
367	467	803
368	468	801
369	469	798
370	470	796
371	471	795
372	471	793
373	472	791
374	473	789
375	474	787
376	474	784
377	475	782
378	476	780
379	477	778
380	477	776
381	478	774
382	479	772
383	480	770
384	481	769
385	482	767
386	483	765
387	484	763
388	484	761
389	485	760
390	486	758
391	487	756
392	488	755
393	489	753
394	490	751
395	491	750
396	492	748
397	494	747
398	495	746
399	496	745
400	497	743
401	498	741
402	499	739
403	500	738
404	501	736
405	502	734
406	503	732
407	503	731
408	504	729
409	505	727
410	506	726
411	507	724
412	508	722
413	509	720
414	510	719
415	511	717
416	512	716
417	513	714
418	513	712
419	514	711
420	515	709
421	516	707
422	517	705
423	518	703
424	518	702
425	519	700
426	520	699
427	522	697
428	523	696
429	523	694
430	524	693
431	526	691
432	527	690
433	528	688
434	529	687
435	530	685
436	531	684
437	531	682
438	532	680
439	533	678
440	534	677
441	535	675
442	536	673
443	536	672
444	537	670
445	538	668
446	539	667
447	540	666
448	542	665
449	543	663
450	543	662
451	544	660
452	545	658
453	546	657
454	547	655
455	548	654
456	548	652
457	549	650
458	550	648
459	551	646
460	551	645
461	552	643
462	553	641
463	554	640
464	555	639
465	556	637
466	557	636
467	558	634
468	559	633
469	560	631
470	561	630
471	562	628
472	562	627
473	563	625
474	564	623
475	565	622
476	565	620
477	566	618
478	567	617
479	568	615
480	568	613
481	569	612
482	571	611
483	572	610
484	573	608
485	574	607
486	574	605
487	575	604
488	576	602
489	577	601
490	578	599
491	579	598
492	579	596
493	580	594
494	581	593
495	582	591
496	582	589
497	583	588
498	584	587
499	586	586
500	587	584
501	588	583
502	588	581
503	589	580
504	590	578
505	591	577
506	592	576
507	593	574
508	594	573
509	594	571
510	595	569
511	596	568
512	596	566
513	597	565
514	598	563
515	599	562
516	600	560
517	601	559
518	602	558
519	603	556
520	604	555
521	605	554
522	606	552
523	607	551
524	607	549
525	608	548
526	609	546
527	609	545
528	610	543
529	611	542
530	612	540
531	613	539
532	613	537
533	614	536
534	615	535
535	616	534
536	617	532
537	618	531
538	619	530
539	620	528
540	621	527
541	622	525
542	623	524
543	623	522
544	624	521
545	625	519
546	625	518
547	626	516
548	627	515
549	627	513
550	628	512
551	629	511
552	631	510
553	632	508
554	633	507
555	633	506
556	634	504
557	635	503
558	636	501
559	636	500
560	637	498
561	638	497
562	639	496
563	639	494
564	640	493
565	641	491
566	641	490
567	642	488
568	643	487
569	643	485
570	644	484
571	646	483
572	647	482
573	648	480
574	648	479
575	649	478
576	650	477
577	651	475
578	652	474
579	652	472
580	653	471
581	654	469
582	655	468
583	655	467
584	656	465
585	657	464
